INFO:root:Bryce's Linux Server Acct | Pypy v7.2.0
INFO:root:random seed is 1575581941
INFO:root:play_7: team 1 players are PartneredAI, non-communicating, using iterative deepening to max_depth 6/max_states 1000000, with position evaluation and random move reordering; team 2 players are the same but team 2 uses piece_drop_nxt_depth depth function
INFO:root:move: whiteA moved e2e4
INFO:root:move: whiteB moved e2e4
INFO:root:move: blackA moved e7e5
INFO:root:move: blackB moved e7e5
INFO:root:move: whiteA moved f1d3
INFO:root:move: whiteB moved f1d3
INFO:root:move: blackA moved d7d6
INFO:root:move: blackB moved d7d6
INFO:root:move: whiteA moved g1e2
INFO:root:move: whiteB moved g1e2
INFO:root:move: blackA moved c8g4
INFO:root:move: blackB moved c8g4
INFO:root:move: whiteA moved b1c3
INFO:root:move: whiteB moved b1c3
INFO:root:move: blackA moved b8c6
INFO:root:move: blackB moved b8c6
INFO:root:move: whiteA moved h2h3
INFO:root:move: whiteB moved h2h3
INFO:root:move: blackA moved g4e2
INFO:root:move: blackB moved g4e2
INFO:root:move: whiteA moved d3e2
INFO:root:move: whiteB moved c3e2
INFO:root:move: blackA moved g8f6
INFO:root:move: blackB moved B@h5
INFO:root:move: whiteA moved N@g4
INFO:root:move: whiteB moved N@d5
INFO:root:move: blackA moved f6g4
INFO:root:move: blackB moved g8e7
INFO:root:move: whiteA moved h3g4
INFO:root:move: whiteB moved N@d4
INFO:root:move: blackA moved B@g6
INFO:root:move: blackB moved e5d4
INFO:root:move: whiteA moved N@h4
INFO:root:move: whiteB moved e1g1
INFO:root:move: blackA moved c6d4
INFO:root:move: blackB moved N@c5
INFO:root:move: whiteA moved h4g6
INFO:root:move: whiteB moved d3b5
INFO:root:move: blackA moved f7g6
INFO:root:move: blackB moved e7d5
INFO:root:move: whiteA moved N@e3
INFO:root:move: whiteB moved e4d5
INFO:root:move: blackA moved N@c5
INFO:root:move: blackB moved B@a6
INFO:root:move: whiteA moved b2b4
INFO:root:move: whiteB moved b5a6
INFO:root:move: blackA moved c5e6
INFO:root:move: blackB moved b7a6
INFO:root:move: whiteA moved B@a4
INFO:root:move: whiteB moved d5c6
INFO:root:move: blackA moved N@b5
INFO:root:move: blackB moved d8e7
INFO:root:move: whiteA moved c3b5
INFO:root:move: whiteB moved N@d5
INFO:root:move: blackA moved B@c6
INFO:root:move: blackB moved h5e2
INFO:root:move: whiteA moved b5d4
INFO:root:move: whiteB moved d5e7
INFO:root:move: blackA moved Q@b6
INFO:root:move: blackB moved e2d1
INFO:root:move: whiteA moved d4e6
INFO:root:move: whiteB moved f1d1
INFO:root:move: blackA moved B@b2
INFO:root:move: blackB moved f8e7
INFO:root:move: whiteA moved e6d8
INFO:root:move: whiteB moved d1e1
INFO:root:move: blackA moved b2a1
INFO:root:move: blackB moved Q@b4
INFO:root:move: whiteA moved Q@c4
INFO:root:move: whiteB moved R@b1
INFO:root:move: blackA moved e8d8
INFO:root:move: blackB moved N@e4
INFO:root:move: whiteA moved N@d5
INFO:root:move: whiteB moved N@d5
INFO:root:move: blackA moved d8c8
INFO:root:move: blackB moved b4b8
INFO:root:move: whiteA moved d5b6
INFO:root:move: whiteB moved a2a3
INFO:root:move: blackA moved a7b6
INFO:root:move: blackB moved N@e2
INFO:root:move: whiteA moved N@f7
INFO:root:move: whiteB moved e1e2
INFO:root:move: blackA moved N@c3
INFO:root:move: blackB moved Q@d1
INFO:root:move: whiteA moved d2c3
INFO:root:move: whiteB moved N@f1
INFO:root:move: blackA moved d6d5
INFO:root:move: blackB moved d1e2
INFO:root:move: whiteA moved e4d5
INFO:root:move: whiteB moved f2f3
INFO:root:move: blackA moved b6b5
INFO:root:move: blackB moved N@g3
INFO:root:move: whiteA moved a4b5
INFO:root:move: whiteB moved f3e4
INFO:root:move: blackA moved N@d3
INFO:root:move: blackB moved P@f2
INFO:root:move: whiteA moved e2d3
INFO:root:move: whiteB moved g1h2
INFO:root:move: blackA moved c6b5
INFO:root:move: blackB moved g3f1
INFO:root:move: whiteA moved N@b6
INFO:root:move: whiteB moved h2h1
INFO:root:move: blackA moved c8b8
INFO:root:move: blackB moved f1g3
INFO:root:move: whiteA moved R@c8
INFO:root:move: whiteB moved h1h2
INFO:root:move: blackA moved b8a7
INFO:root:move: blackB moved g3f1
INFO:root:move: whiteA moved c4c7
INFO:root:move: whiteB moved h2h1
INFO:root:move: blackA moved f8b4
INFO:root:move: blackB moved f1g3
INFO:root:move: whiteA moved c8a8
INFO:root:move: whiteB moved h1h2
INFO:root:move: blackA moved h8a8
INFO:root:move: blackB moved g3f1
INFO:root:move: whiteA moved c3b4
INFO:root:move: whiteB moved h2h1
INFO:root:move: blackA moved b5d3
INFO:root:move: blackB moved f1g3
INFO:root:move: whiteA moved b6a8
INFO:root:move: whiteB moved h1h2
INFO:root:move: blackA moved d3e4
INFO:root:move: blackB moved g3f1
INFO:root:move: whiteA moved f7d6
INFO:root:move: whiteB moved h2h1
INFO:root:move: blackA moved a7a8
INFO:root:move: blackB moved f1g3
INFO:root:move: whiteA moved d6e4
INFO:root:move: whiteB moved h1h2
INFO:root:move: blackA moved a1d4
