INFO:root:move: whiteA moved c1d1
INFO:root:move: whiteB moved B@c6
INFO:root:move: blackA moved g5c1
INFO:root:move: blackB moved b7c6
INFO:root:move: whiteA moved d1c1
INFO:root:move: whiteB moved B@a4
INFO:root:move: blackA moved R@b1
INFO:root:Stats for Agent whiteA
Move number 1Total States for game: 1516
Max branching factor for game: 6.2398593468013015
Average states per move for game: 1516.0
Average eval function execution time for game: 7.395879596683151e-05
Eval function execution count: 987
States for current turn: 1516
Current turn branching factor: 6.2398593468013015
Current turn eval function time: 0.0729973316192627
Current turn eval function count: 987
Current turn eval function average time: 7.395879596683151e-05

Move number 2Total States for game: 22509
Max branching factor for game: 12.037010141820545
Average states per move for game: 11254.5
Average eval function execution time for game: 1.526914229958904e-05
Eval function execution count: 20265
States for current turn: 20993
Current turn branching factor: 12.037010141820545
Current turn eval function time: 0.23643183708190918
Current turn eval function count: 19278
Current turn eval function average time: 1.2264334323161592e-05

Move number 3Total States for game: 36299
Max branching factor for game: 12.037010141820545
Average states per move for game: 12099.666666666666
Average eval function execution time for game: 1.3827892948152028e-05
Eval function execution count: 32852
States for current turn: 13790
Current turn branching factor: 10.836550682976451
Current turn eval function time: 0.14484477043151855
Current turn eval function count: 12587
Current turn eval function average time: 1.1507489507548943e-05

Move number 4Total States for game: 49112
Max branching factor for game: 12.037010141820545
Average states per move for game: 12278.0
Average eval function execution time for game: 1.3068430274812075e-05
Eval function execution count: 44474
States for current turn: 12813
Current turn branching factor: 10.63929146304828
Current turn eval function time: 0.12693142890930176
Current turn eval function count: 11622
Current turn eval function average time: 1.0921651084951106e-05

Move number 5Total States for game: 65648
Max branching factor for game: 12.037010141820545
Average states per move for game: 13129.6
Average eval function execution time for game: 1.2026371229858622e-05
Eval function execution count: 59886
States for current turn: 16536
Current turn branching factor: 11.339857990531806
Current turn eval function time: 0.1390058994293213
Current turn eval function count: 15412
Current turn eval function average time: 9.019329057184097e-06

Move number 6Total States for game: 201142
Max branching factor for game: 19.185804554631616
Average states per move for game: 33523.666666666664
Average eval function execution time for game: 1.1072047110827792e-05
Eval function execution count: 184071
States for current turn: 135494
Current turn branching factor: 19.185804554631616
Current turn eval function time: 1.3178315162658691
Current turn eval function count: 124185
Current turn eval function average time: 1.0611841335635295e-05

Move number 7Total States for game: 255045
Max branching factor for game: 19.185804554631616
Average states per move for game: 36435.0
Average eval function execution time for game: 1.0834742869876826e-05
Eval function execution count: 234225
States for current turn: 53903
Current turn branching factor: 15.237132151174718
Current turn eval function time: 0.4997248649597168
Current turn eval function count: 50154
Current turn eval function average time: 9.963808768188316e-06

Move number 8Total States for game: 261312
Max branching factor for game: 19.185804554631616
Average states per move for game: 32664.0
Average eval function execution time for game: 1.081042110850612e-05
Eval function execution count: 239827
States for current turn: 6267
Current turn branching factor: 8.897437042882581
Current turn eval function time: 0.05486321449279785
Current turn eval function count: 5602
Current turn eval function average time: 9.793504907675446e-06

Move number 9Total States for game: 440472
Max branching factor for game: 20.57359865396531
Average states per move for game: 48941.333333333336
Average eval function execution time for game: 1.0722796588475548e-05
Eval function execution count: 399544
States for current turn: 179160
Current turn branching factor: 20.57359865396531
Current turn eval function time: 1.6915981769561768
Current turn eval function count: 159717
Current turn eval function average time: 1.0591221829587188e-05

Move number 10Total States for game: 470297
Max branching factor for game: 20.57359865396531
Average states per move for game: 47029.7
Average eval function execution time for game: 1.071346273896205e-05
Eval function execution count: 426812
States for current turn: 29825
Current turn branching factor: 13.14150525593265
Current turn eval function time: 0.2884054183959961
Current turn eval function count: 27268
Current turn eval function average time: 1.0576698635616698e-05

Move number 11Total States for game: 476694
Max branching factor for game: 20.57359865396531
Average states per move for game: 43335.818181818184
Average eval function execution time for game: 1.0698950992793653e-05
Eval function execution count: 432208
States for current turn: 6397
Current turn branching factor: 8.943223568837986
Current turn eval function time: 0.05153775215148926
Current turn eval function count: 5396
Current turn eval function average time: 9.551103067362723e-06

Move number 12Total States for game: 479989
Max branching factor for game: 20.57359865396531
Average states per move for game: 39999.083333333336
Average eval function execution time for game: 1.0702025021843853e-05
Eval function execution count: 434668
States for current turn: 3295
Current turn branching factor: 7.576416735783788
Current turn eval function time: 0.027655601501464844
Current turn eval function count: 2460
Current turn eval function average time: 1.1242114431489775e-05

Move number 13Total States for game: 507455
Max branching factor for game: 20.57359865396531
Average states per move for game: 39035.0
Average eval function execution time for game: 1.0622524600256582e-05
Eval function execution count: 460558
States for current turn: 27466
Current turn branching factor: 12.873565704765301
Current turn eval function time: 0.24046087265014648
Current turn eval function count: 25890
Current turn eval function average time: 9.287789596374913e-06

Move number 14Total States for game: 550902
Max branching factor for game: 20.57359865396531
Average states per move for game: 39350.142857142855
Average eval function execution time for game: 1.0542530104906586e-05
Eval function execution count: 502342
States for current turn: 43447
Current turn branching factor: 14.437431892346629
Current turn eval function time: 0.40366697311401367
Current turn eval function count: 41784
Current turn eval function average time: 9.660802534798335e-06

Move number 15Total States for game: 999413
Max branching factor for game: 25.87874878302288
Average states per move for game: 66627.53333333334
Average eval function execution time for game: 9.988496517663229e-06
Eval function execution count: 933731
States for current turn: 448511
Current turn branching factor: 25.87874878302288
Current turn eval function time: 4.03061318397522
Current turn eval function count: 431389
Current turn eval function average time: 9.343337878284379e-06

Move number 16Total States for game: 1163441
Max branching factor for game: 25.87874878302288
Average states per move for game: 72715.0625
Average eval function execution time for game: 9.90260926794017e-06
Eval function execution count: 1091563
States for current turn: 164028
Current turn branching factor: 20.124703816125315
